re_type,adv_bed,adv_bath,adv_park,pool,balcony,leisure,secondfloor,adv_size,district,adv_sale
house,3.0,3.0,3.0,False,False,False,False,410.0,Lagoa Nova,450000
house,5.0,1.0,2.0,True,False,True,False,520.0,Barro Vermelho,850000
house,4.0,4.0,3.0,False,False,True,False,195.0,Pitimbu,350000
house,3.0,3.0,4.0,False,True,False,False,173.0,Ponta Negra,300000
house,4.0,5.0,4.0,False,False,True,False,300.0,Ponta Negra,400000
house,3.0,2.0,2.0,False,False,True,False,107.0,Lagoa Nova,300000
house,4.0,3.0,3.0,True,False,True,False,400.0,Ponta Negra,750000
house,3.0,4.0,2.0,True,False,True,False,230.0,Capim Macio,550000
house,3.0,3.0,2.0,False,False,True,False,185.0,Neopolis,339000
house,3.0,3.0,4.0,False,False,True,False,268.0,Capim Macio,700000
house,3.0,4.0,2.0,True,True,True,False,234.0,Pitimbu,600000
house,3.0,2.0,2.0,False,False,False,False,175.0,Capim Macio,295000
house,5.0,4.0,2.0,False,True,True,False,260.0,Candelaria,340000
house,4.0,5.0,3.0,False,False,False,False,194.0,Capim Macio,498000
house,3.0,2.0,2.0,False,True,False,False,200.0,Lagoa Nova,280000
house,3.0,4.0,4.0,True,True,True,False,200.0,Pitimbu,330000
house,3.0,1.0,3.0,True,True,True,False,44067.0,Ponta Negra,1200000
house,4.0,5.0,3.0,False,True,True,False,450.0,Ponta Negra,499900
house,3.0,3.0,3.0,True,False,True,False,230.0,Pitimbu,300000
house,5.0,6.0,12.0,False,True,True,False,250.0,Redinha,320000
house,4.0,3.0,2.0,False,False,True,False,200.0,de Nazare,330000
house,4.0,5.0,3.0,True,False,False,False,200.0,Lagoa Nova,480000
house,4.0,4.0,4.0,True,False,True,False,300.0,PARNAMIRIM,590000
house,3.0,5.0,4.0,True,False,True,False,186.0,Capim Macio,599900
house,3.0,4.0,3.0,False,False,False,False,250.0,Neopolis,350000
house,3.0,3.0,1.0,False,False,True,False,108.0,Petropolis,400000
house,3.0,3.0,1.0,False,False,False,False,135.0,Barro Vermelho,380000
house,4.0,3.0,2.0,False,False,False,False,160.0,Lagoa Nova,345000
house,3.0,2.0,2.0,True,True,True,False,200.0,Capim Macio,440000
house,3.0,1.0,1.0,True,False,True,False,214.0,Neopolis,410000
house,3.0,1.0,1.0,False,False,True,False,180.0,Planalto,150000
house,3.0,1.0,1.0,False,False,False,False,230.0,Neopolis,250000
house,3.0,1.0,1.0,False,False,True,False,117.0,Lagoa Nova,280000
house,3.0,3.0,5.0,True,False,True,False,220.0,Capim Macio,480000
house,3.0,3.0,3.0,False,False,True,False,200.0,Neopolis,280000
house,3.0,4.0,2.0,False,True,True,False,210.0,Potengi,350000
house,3.0,3.0,2.0,False,False,False,False,268.0,Capim Macio,549000
house,3.0,1.0,3.0,False,False,True,False,150.0,sept Rosado,290000
house,3.0,2.0,1.0,False,False,False,False,285.0,Lagoa Nova,350000
house,3.0,4.0,5.0,True,True,True,False,223.0,Capim Macio,570000
house,2.0,2.0,2.0,False,False,True,False,68.0,Planalto,115000
house,3.0,3.0,1.0,False,False,True,False,217.0,Pitimbu,250000
house,3.0,2.0,2.0,False,False,False,False,120.0,Ponta Negra,380000
house,3.0,2.0,1.0,False,False,True,False,240.0,Candelaria,630000
house,4.0,3.0,3.0,True,True,True,False,350.0,Ponta Negra,800000
house,5.0,4.0,4.0,True,False,True,False,250.0,Lagoa Nova,349000
house,5.0,6.0,4.0,False,False,False,False,420.0,Pitimbu,980000
house,6.0,1.0,4.0,False,False,False,False,540.0,Capim Macio,1290000
house,3.0,2.0,1.0,False,False,False,False,105.0,Capim Macio,260000
house,4.0,2.0,3.0,True,True,True,False,290.0,Neopolis,500000
house,4.0,6.0,4.0,True,False,True,False,300.0,Candelaria,550000
house,3.0,1.0,2.0,False,False,True,False,240.0,Neopolis,290000
house,5.0,4.0,11.0,True,True,True,False,600.0,Ponta Negra,885000
house,3.0,3.0,2.0,False,True,True,False,160.0,Lagoa Seca,700000
house,3.0,1.0,3.0,False,False,True,False,200.0,Lagoa Nova,420000
house,3.0,1.0,4.0,False,False,False,False,240.0,Ponta Negra,500000
house,3.0,1.0,2.0,False,False,True,False,150.0,Capim Macio,329000
house,5.0,5.0,8.0,True,True,True,False,280.0,Capim Macio,645000
house,6.0,6.0,4.0,False,True,True,False,325.0,Ponta Negra,550000
