adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Rua Alfredo Dias de Figueiredo  1362 - Ponta Negra  Natal - RN,R$ 650000,NotFound,4,5,8,245, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Depï¿½sito / Cabeamento estruturado / Mobiliado / Garagem / Conexï¿½o ï¿½ internet / Lavanderia / Cozinha / Area de servico / Sistema de alarme / Interfone / Circuito de Seguranca / Serviï¿½os pï¿½blicos essenciais / Piscina / Jardim / Espaco gourmet / Churrasqueira ,Ponta Negra,house
Rua Contador Manoel Raimundo de Aguiar  1853 - Lagoa Nova  Natal - RN,R$ 1000000,NotFound,4,4,10,406, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Jardim / Ar-condicionado / Quintal / Depï¿½sito / Cabeamento estruturado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Area de servico / Vista exterior / Sistema de alarme / Interfone / Circuito de Seguranca / Vigia ,Lagoa Nova,house
Rua Doutor Ewerton Dantas Cortez  1500 - Tirol  Natal - RN,R$ 700000,NotFound,4,4,5,300, Proximo a shopping / Ar-condicionado / Varanda / Quintal / Depï¿½sito / Interfone / Perto de vias de acesso / Jardim / Mobiliado / Cozinha / Lavanderia / Garagem / Area de servico / Proximo a hospitais / Proximo a transporte pï¿½blico ,Tirol,house
Rua dos Antï¿½rios  851 - Capim Macio  Natal - RN,R$ 320000,NotFound,3,3,2,NotFound, Ar-condicionado / Circuito de Seguranca / Conexï¿½o ï¿½ internet / Cozinha / Mobiliado / Proximo a shopping / Sistema de alarme / Seguranï¿½a 24h / Garagem ,Capim Macio,house
Rua Abraham Tahim - Capim Macio  Natal - RN,R$ 398000,NotFound,3,3,4,250, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Quintal / Depï¿½sito / Cabeamento estruturado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Lavanderia / Cozinha / Area de servico / Vigia / Interfone / Sistema de alarme / Circuito de Seguranca ,Capim Macio,house
Rua Antï¿½nio China  628 - Lagoa Seca  Natal - RN,R$ 300000,NotFound,3,3,3,203,NotFound,Lagoa Seca,house
Rua Valter Fernandes  1980 - Capim Macio  Natal - RN,R$ 800000,NotFound,4,3,4,300, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Quintal / Depï¿½sito / Lareira / Mobiliado / TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Lavanderia / Cozinha / Area de servico / Vista exterior / Churrasqueira / Jardim / Espaco gourmet / Piscina / Espaco verde / Parque / Sistema de alarme / Interfone / Circuito de Seguranca ,Capim Macio,house
Rua Manoel Caetano  10 - Redinha  Natal - RN,R$ 560000,NotFound,5,5,4,700, Conexï¿½o ï¿½ internet / Vista exterior / Mobiliado / Quintal / Area de servico / Cozinha / Ar-condicionado / Garagem / TV a cabo / Cabeamento estruturado / Depï¿½sito / Varanda / Lavanderia / Proximo a transporte pï¿½blico / Proximo a shopping / Proximo a escola / Perto de vias de acesso / Proximo a hospitais / Sistema de alarme / Circuito de Seguranca / Playground / Espaco verde / Parque / Piscina para adulto / Salao de jogos / Piscina / Serviï¿½os pï¿½blicos essenciais / Piscina infantil / Churrasqueira / Jardim / Vista para o mar / Varanda gourmet / Espaco gourmet ,Redinha,house
Rua Pirapora  4723 - Neopolis  Natal - RN,R$ 320000,NotFound,4,4,4,180, Quintal / Varanda / Depï¿½sito / Perto de vias de acesso / Proximo a shopping / Sistema de alarme / Proximo a escola / Proximo a transporte pï¿½blico / Proximo a hospitais / Ar-condicionado / Garagem / Lavanderia / Conexï¿½o ï¿½ internet / TV a cabo / Cabeamento estruturado / Cozinha / Area de servico / Espaco verde / Parque / Vigia ,Neopolis,house
Rua Desembargador Sinval Moreira Dias - Nova Descoberta  Natal - RN,R$ 300000,NotFound,3,2,3,268, Perto de vias de acesso / Depï¿½sito / Jardim / Quintal / Varanda / Sistema de alarme ,Nova Descoberta,house
